SKU,Title,Description,Stock,Price,Assets,DataSheet,Brand,Category
NSYCVF165M24DPF,"Schneider ClimaSys forced vent. IP54, 165m3/h, 24V DC, with outlet grille and filter G2 NSYCVF165M24DPF","ClimaSys forced vent. IP54, 165m3/h, 24V DC, with outlet grille and filter G2.Label:ClimaSys CV-range:ClimaSys-product certifications:{}-product name:ClimaSys CV-product or component type:fan-range compatibility:{}-type of ventilation filter:standard-air flow:{""1"":""2018-04-13 02:28:22""}-[Us] rated supply voltage:{""1"":""2018-04-13 02:28:22""}-input voltage:{""1"":""2018-04-13 02:28:22""}-Range Presentation:Specially recommended for installations in which:
- The ambient temperature is lower than the desired temperature inside the enclosure. - A high protection rating is required: IP 54 or IP 55. - The surrounding environment is relatively clean, allowing air to enter the enclosure. Large range of solutions
- 42 possible combinations. - Colours: RAL 7035 as standard, with the option of changing to RAL 7032 (with replacement grille <gt/>em<lt/>NSYCAG***LPC. - 38 to 850 m3/h. - According to 5 input voltages:
- AC: 400/440 V, 230 V, 115 V (50/60 Hz),
- DC: 48 V and 24 V. - Broad range of accessories (filters, IP 55 & EMC covers, anti-vandalism kit). - Certifications: CUL.New Modular slim FanBox
- 230 VAC, 115VAC & 24VDC - Free flow rate: 550m3/h (50/60Hz) - Maximal flow rate in IP55 (with G3 filter) - Minimal 100mm depth - Dissipates up to 1500W of heat energy - Made of non-conducting plastic - UL approval-Range Benefits:High performance at low cost!
- Economic solution - Easy maintenance - Quick and easy installation - High protection rating: IP54 and/or IP55 
FanBox:
- Modular slim fan design saves space with flexible mounting options - Up to 67% space saved - Multiple cooling architectures for maximum versatility (S-line, T-line and I-line)-Range Application Presentation:In industrial atmospheres with high degrees of pollution you have to:
- Install ventilation systems with integrated filters. - Specific filters for each working environment. - Perform regular maintenance.",200,267.53,https://download.schneider-electric.com/files?p_Doc_Ref=NSYCVF165M24DPF_IoPmain_ODA20&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF165M24DPF,Schneider,Accessories
NSYCVF165M48DPF,"Schneider ClimaSys forced vent. IP54, 165m3/h, 48V DC, with outlet grille and filter G2 NSYCVF165M48DPF","ClimaSys forced vent. IP54, 165m3/h, 48V DC, with outlet grille and filter G2.Label:ClimaSys CV-range:ClimaSys-product certifications:{}-product name:ClimaSys CV-product or component type:fan-range compatibility:{}-type of ventilation filter:standard-air flow:{""1"":""2018-04-13 02:28:26""}-[Us] rated supply voltage:{""1"":""2018-04-13 02:28:26""}-input voltage:{""1"":""2018-04-13 02:28:26""}-Range Presentation:Specially recommended for installations in which:
- The ambient temperature is lower than the desired temperature inside the enclosure. - A high protection rating is required: IP 54 or IP 55. - The surrounding environment is relatively clean, allowing air to enter the enclosure. Large range of solutions
- 42 possible combinations. - Colours: RAL 7035 as standard, with the option of changing to RAL 7032 (with replacement grille <gt/>em<lt/>NSYCAG***LPC. - 38 to 850 m3/h. - According to 5 input voltages:
- AC: 400/440 V, 230 V, 115 V (50/60 Hz),
- DC: 48 V and 24 V. - Broad range of accessories (filters, IP 55 & EMC covers, anti-vandalism kit). - Certifications: CUL.New Modular slim FanBox
- 230 VAC, 115VAC & 24VDC - Free flow rate: 550m3/h (50/60Hz) - Maximal flow rate in IP55 (with G3 filter) - Minimal 100mm depth - Dissipates up to 1500W of heat energy - Made of non-conducting plastic - UL approval-Range Benefits:High performance at low cost!
- Economic solution - Easy maintenance - Quick and easy installation - High protection rating: IP54 and/or IP55 
FanBox:
- Modular slim fan design saves space with flexible mounting options - Up to 67% space saved - Multiple cooling architectures for maximum versatility (S-line, T-line and I-line)-Range Application Presentation:In industrial atmospheres with high degrees of pollution you have to:
- Install ventilation systems with integrated filters. - Specific filters for each working environment. - Perform regular maintenance.",200,244.76,https://download.schneider-electric.com/files?p_Doc_Ref=PB501052&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF165M48DPF,Schneider,Accessories
NSYCVF300M115PF,"Schneider ClimaSys forced vent. IP54, 300m3/h, 115V, with outlet grille and filter G2 NSYCVF300M115PF","ClimaSys forced vent. IP54, 300m3/h, 115V, with outlet grille and filter G2.Label:ClimaSys CV-range:ClimaSys-product certifications:{}-product name:ClimaSys CV-product or component type:fan-range compatibility:{}-type of ventilation filter:standard-air flow:{""1"":""2018-04-13 02:28:34"",""2"":""2018-04-13 02:28:34""}-[Us] rated supply voltage:{""1"":""2018-04-13 02:28:34""}-input voltage:{""1"":""2018-04-13 02:28:34""}-Range Presentation:Specially recommended for installations in which:
- The ambient temperature is lower than the desired temperature inside the enclosure. - A high protection rating is required: IP 54 or IP 55. - The surrounding environment is relatively clean, allowing air to enter the enclosure. Large range of solutions
- 42 possible combinations. - Colours: RAL 7035 as standard, with the option of changing to RAL 7032 (with replacement grille <gt/>em<lt/>NSYCAG***LPC. - 38 to 850 m3/h. - According to 5 input voltages:
- AC: 400/440 V, 230 V, 115 V (50/60 Hz),
- DC: 48 V and 24 V. - Broad range of accessories (filters, IP 55 & EMC covers, anti-vandalism kit). - Certifications: CUL.New Modular slim FanBox
- 230 VAC, 115VAC & 24VDC - Free flow rate: 550m3/h (50/60Hz) - Maximal flow rate in IP55 (with G3 filter) - Minimal 100mm depth - Dissipates up to 1500W of heat energy - Made of non-conducting plastic - UL approval-Range Benefits:High performance at low cost!
- Economic solution - Easy maintenance - Quick and easy installation - High protection rating: IP54 and/or IP55 
FanBox:
- Modular slim fan design saves space with flexible mounting options - Up to 67% space saved - Multiple cooling architectures for maximum versatility (S-line, T-line and I-line)-Range Application Presentation:In industrial atmospheres with high degrees of pollution you have to:
- Install ventilation systems with integrated filters. - Specific filters for each working environment. - Perform regular maintenance.",200,221.8,https://download.schneider-electric.com/files?p_Doc_Ref=NSYCVF300M115PF_IoPmain_ODA20&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF300M115PF,Schneider,Accessories
NSYCVF300M230DG,Schneider ClimaSys CV - CSVS SmartFan 300m3/h 230V IP54 NSYCVF300M230DG,"ClimaSys CV - CSVS SmartFan 300m3/h 230V IP54.Label:ClimaSys CV-range:ClimaSys-product certifications:{""1"":""2018-11-20 07:43:51"",""2"":""2018-11-20 07:43:51"",""3"":""2018-11-20 07:43:51"",""4"":""2018-11-20 07:43:51"",""5"":""2018-11-20 07:43:51""}-product name:ClimaSys CV-product or component type:fan-range compatibility:{""1"":""2018-08-02 05:22:10""}-type of ventilation filter:G2-air flow:{""1"":""2018-08-02 05:18:25"",""2"":""2018-08-02 05:18:25""}-[Us] rated supply voltage:{""1"":""2018-08-02 05:18:25""}-input voltage:{""1"":""2018-08-02 05:18:25""}-Range Presentation:Specially recommended for installations in which:
- The ambient temperature is lower than the desired temperature inside the enclosure. - A high protection rating is required: IP 54 or IP 55. - The surrounding environment is relatively clean, allowing air to enter the enclosure. Large range of solutions
- 42 possible combinations. - Colours: RAL 7035 as standard, with the option of changing to RAL 7032 (with replacement grille <gt/>em<lt/>NSYCAG***LPC. - 38 to 850 m3/h. - According to 5 input voltages:
- AC: 400/440 V, 230 V, 115 V (50/60 Hz),
- DC: 48 V and 24 V. - Broad range of accessories (filters, IP 55 & EMC covers, anti-vandalism kit). - Certifications: CUL.New Modular slim FanBox
- 230 VAC, 115VAC & 24VDC - Free flow rate: 550m3/h (50/60Hz) - Maximal flow rate in IP55 (with G3 filter) - Minimal 100mm depth - Dissipates up to 1500W of heat energy - Made of non-conducting plastic - UL approval-Range Benefits:High performance at low cost!
- Economic solution - Easy maintenance - Quick and easy installation - High protection rating: IP54 and/or IP55 
FanBox:
- Modular slim fan design saves space with flexible mounting options - Up to 67% space saved - Multiple cooling architectures for maximum versatility (S-line, T-line and I-line)-Range Application Presentation:In industrial atmospheres with high degrees of pollution you have to:
- Install ventilation systems with integrated filters. - Specific filters for each working environment. - Perform regular maintenance.",200,377.29,https://download.schneider-electric.com/files?p_Doc_Ref=PB503526&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF300M230DG,Schneider,Accessories
NSYCVF300M230PF,"Schneider ClimaSys forced vent. IP54, 300m3/h, 230V, with outlet grille and filter G2 NSYCVF300M230PF","ClimaSys forced vent. IP54, 300m3/h, 230V, with outlet grille and filter G2.Label:Prisma Plus P-range:ClimaSys-product certifications:{}-product name:ClimaSys CV-product or component type:fan-range compatibility:{}-type of ventilation filter:standard-air flow:{""1"":""2018-04-13 02:28:37"",""2"":""2018-04-13 02:28:37""}-[Us] rated supply voltage:{""1"":""2018-04-13 02:28:37""}-input voltage:{""1"":""2018-04-13 02:28:37""}-Range Presentation:Available worldwide, the Prisma Plus P range comprises wall-mounted and free-standing enclosures for electrical switchboards up to 630A, Icw: 25kA rms/1s (wall-mounted)
- Cubicles for electrical switchboards up to 3200A, Icw: 85kA rms/1s 
- For tested switchboards IEC 61439-1 (IEC 61439-2 in progress) 
- All the most demanding switchboard configurations have been tested 
- Metal enclosures 
- Colour: white RAL 9001 
- Protection: IP30 to IP55      
- The components (switchgear, busbars, etc.) are designed for joint operation-Range Benefits:
- Ensures safety and reliability of electrical installations: Peace of mind 
- Switchboard configurations tested: Compliant 
- Optimised switchboards: Flexibility 
- Can be upgraded easily at any time without its original performance being affected: Simplicity-Range Application Presentation:
- Industrial buildings 
- Tertiary buildings eg educational establishments and hospitals",200,120.05,https://download.schneider-electric.com/files?p_Doc_Ref=NSYCVF300M230PF_IoPmain_ODA20&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF300M230PF,Schneider,Accessories
NSYCVF38M230PF,"Schneider ClimaSys forced vent. IP54, 38m3/h, 230V, with outlet grille and filter G2 NSYCVF38M230PF","ClimaSys forced vent. IP54, 38m3/h, 230V, with outlet grille and filter G2.Label:Prisma Plus P-range:ClimaSys-product certifications:{}-product name:ClimaSys CV-product or component type:fan-range compatibility:{}-type of ventilation filter:standard-air flow:{""1"":""2018-04-13 02:28:55"",""2"":""2018-04-13 02:28:55""}-[Us] rated supply voltage:{""1"":""2018-04-13 02:28:55""}-input voltage:{""1"":""2018-04-13 02:28:55""}-Range Presentation:Available worldwide, the Prisma Plus P range comprises wall-mounted and free-standing enclosures for electrical switchboards up to 630A, Icw: 25kA rms/1s (wall-mounted)
- Cubicles for electrical switchboards up to 3200A, Icw: 85kA rms/1s 
- For tested switchboards IEC 61439-1 (IEC 61439-2 in progress) 
- All the most demanding switchboard configurations have been tested 
- Metal enclosures 
- Colour: white RAL 9001 
- Protection: IP30 to IP55      
- The components (switchgear, busbars, etc.) are designed for joint operation-Range Benefits:
- Ensures safety and reliability of electrical installations: Peace of mind 
- Switchboard configurations tested: Compliant 
- Optimised switchboards: Flexibility 
- Can be upgraded easily at any time without its original performance being affected: Simplicity-Range Application Presentation:
- Industrial buildings 
- Tertiary buildings eg educational establishments and hospitals",200,78.89,https://download.schneider-electric.com/files?p_Doc_Ref=NSYCVF38M230PF_IoPmain_ODA20&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF38M230PF,Schneider,Accessories
NSYCVF38M24DPF,"Schneider ClimaSys forced vent. IP54, 38m3/h, 24V DC, with outlet grille and filter G2 NSYCVF38M24DPF","ClimaSys forced vent. IP54, 38m3/h, 24V DC, with outlet grille and filter G2.Label:ClimaSys CV-range:ClimaSys-product certifications:{}-product name:ClimaSys CV-product or component type:fan-range compatibility:{}-type of ventilation filter:standard-air flow:{""1"":""2018-04-13 02:28:59""}-[Us] rated supply voltage:{""1"":""2018-04-13 02:28:59""}-input voltage:{""1"":""2018-04-13 02:28:59""}-Range Presentation:Specially recommended for installations in which:
- The ambient temperature is lower than the desired temperature inside the enclosure. - A high protection rating is required: IP 54 or IP 55. - The surrounding environment is relatively clean, allowing air to enter the enclosure. Large range of solutions
- 42 possible combinations. - Colours: RAL 7035 as standard, with the option of changing to RAL 7032 (with replacement grille <gt/>em<lt/>NSYCAG***LPC. - 38 to 850 m3/h. - According to 5 input voltages:
- AC: 400/440 V, 230 V, 115 V (50/60 Hz),
- DC: 48 V and 24 V. - Broad range of accessories (filters, IP 55 & EMC covers, anti-vandalism kit). - Certifications: CUL.New Modular slim FanBox
- 230 VAC, 115VAC & 24VDC - Free flow rate: 550m3/h (50/60Hz) - Maximal flow rate in IP55 (with G3 filter) - Minimal 100mm depth - Dissipates up to 1500W of heat energy - Made of non-conducting plastic - UL approval-Range Benefits:High performance at low cost!
- Economic solution - Easy maintenance - Quick and easy installation - High protection rating: IP54 and/or IP55 
FanBox:
- Modular slim fan design saves space with flexible mounting options - Up to 67% space saved - Multiple cooling architectures for maximum versatility (S-line, T-line and I-line)-Range Application Presentation:In industrial atmospheres with high degrees of pollution you have to:
- Install ventilation systems with integrated filters. - Specific filters for each working environment. - Perform regular maintenance.",200,114.33,https://download.schneider-electric.com/files?p_Doc_Ref=NSYCVF38M24DPF_IoPmain_ODA20&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF38M24DPF,Schneider,Accessories
NSYCVF560M115PF,"Schneider ClimaSys forced vent. IP54, 560m3/h, 115V, with outlet grille and filter G2 NSYCVF560M115PF","ClimaSys forced vent. IP54, 560m3/h, 115V, with outlet grille and filter G2.Label:ClimaSys CV-range:ClimaSys-product certifications:{}-product name:ClimaSys CV-product or component type:fan-range compatibility:{}-type of ventilation filter:standard-air flow:{""1"":""2018-04-13 02:29:14"",""2"":""2018-04-13 02:29:14""}-[Us] rated supply voltage:{""1"":""2018-04-13 02:29:14""}-input voltage:{""1"":""2018-04-13 02:29:14""}-Range Presentation:Specially recommended for installations in which:
- The ambient temperature is lower than the desired temperature inside the enclosure. - A high protection rating is required: IP 54 or IP 55. - The surrounding environment is relatively clean, allowing air to enter the enclosure. Large range of solutions
- 42 possible combinations. - Colours: RAL 7035 as standard, with the option of changing to RAL 7032 (with replacement grille <gt/>em<lt/>NSYCAG***LPC. - 38 to 850 m3/h. - According to 5 input voltages:
- AC: 400/440 V, 230 V, 115 V (50/60 Hz),
- DC: 48 V and 24 V. - Broad range of accessories (filters, IP 55 & EMC covers, anti-vandalism kit). - Certifications: CUL.New Modular slim FanBox
- 230 VAC, 115VAC & 24VDC - Free flow rate: 550m3/h (50/60Hz) - Maximal flow rate in IP55 (with G3 filter) - Minimal 100mm depth - Dissipates up to 1500W of heat energy - Made of non-conducting plastic - UL approval-Range Benefits:High performance at low cost!
- Economic solution - Easy maintenance - Quick and easy installation - High protection rating: IP54 and/or IP55 
FanBox:
- Modular slim fan design saves space with flexible mounting options - Up to 67% space saved - Multiple cooling architectures for maximum versatility (S-line, T-line and I-line)-Range Application Presentation:In industrial atmospheres with high degrees of pollution you have to:
- Install ventilation systems with integrated filters. - Specific filters for each working environment. - Perform regular maintenance.",200,193.22,https://download.schneider-electric.com/files?p_Doc_Ref=NSYCVF560M115PF_IoPmain_ODA20&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF560M115PF,Schneider,Accessories
NSYCVF560M230DG,Schneider ClimaSys CV - CSVS SmartFan 560m3/h 230V IP54 NSYCVF560M230DG,"ClimaSys CV - CSVS SmartFan 560m3/h 230V IP54.Label:ClimaSys CV-range:ClimaSys-product certifications:{""1"":""2018-11-20 07:43:50"",""2"":""2018-11-20 07:43:50"",""3"":""2018-11-20 07:43:50"",""4"":""2018-11-20 07:43:50"",""5"":""2018-11-20 07:43:50""}-product name:ClimaSys CV-additional information:1 line of 10 characters maximum-product or component type:fan-range compatibility:{""1"":""2018-11-20 07:43:50"",""2"":""2018-11-20 07:43:50"",""3"":""2018-08-02 05:22:04""}-type of ventilation filter:G2-air flow:{""1"":""2018-08-02 05:22:04"",""2"":""2018-08-02 05:22:04""}-[Us] rated supply voltage:{""1"":""2018-08-02 05:22:04""}-input voltage:{""1"":""2018-08-02 05:18:24""}-Range Presentation:Specially recommended for installations in which:
- The ambient temperature is lower than the desired temperature inside the enclosure. - A high protection rating is required: IP 54 or IP 55. - The surrounding environment is relatively clean, allowing air to enter the enclosure. Large range of solutions
- 42 possible combinations. - Colours: RAL 7035 as standard, with the option of changing to RAL 7032 (with replacement grille <gt/>em<lt/>NSYCAG***LPC. - 38 to 850 m3/h. - According to 5 input voltages:
- AC: 400/440 V, 230 V, 115 V (50/60 Hz),
- DC: 48 V and 24 V. - Broad range of accessories (filters, IP 55 & EMC covers, anti-vandalism kit). - Certifications: CUL.New Modular slim FanBox
- 230 VAC, 115VAC & 24VDC - Free flow rate: 550m3/h (50/60Hz) - Maximal flow rate in IP55 (with G3 filter) - Minimal 100mm depth - Dissipates up to 1500W of heat energy - Made of non-conducting plastic - UL approval-Range Benefits:High performance at low cost!
- Economic solution - Easy maintenance - Quick and easy installation - High protection rating: IP54 and/or IP55 
FanBox:
- Modular slim fan design saves space with flexible mounting options - Up to 67% space saved - Multiple cooling architectures for maximum versatility (S-line, T-line and I-line)-Range Application Presentation:In industrial atmospheres with high degrees of pollution you have to:
- Install ventilation systems with integrated filters. - Specific filters for each working environment. - Perform regular maintenance.",200,499.62,https://download.schneider-electric.com/files?p_Doc_Ref=PB503526&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF560M230DG,Schneider,Accessories
NSYCVF560M230PF,"Schneider ClimaSys forced vent. IP54, 560m3/h, 230V, with outlet grille and filter G2 NSYCVF560M230PF","ClimaSys forced vent. IP54, 560m3/h, 230V, with outlet grille and filter G2.Label:Prisma-range:ClimaSys-product certifications:{}-product name:ClimaSys CV-product or component type:fan-range compatibility:{""1"":""2018-04-13 02:29:17"",""2"":""2018-04-13 02:29:17""}-type of ventilation filter:standard-air flow:{""1"":""2018-04-13 02:29:17"",""2"":""2018-04-13 02:29:17""}-[Us] rated supply voltage:{""1"":""2018-04-13 02:29:18""}-input voltage:{""1"":""2018-04-13 02:29:17""}-Range Presentation:
- Prisma: kit solutions for tested and IEC 61439-1&2 compliant low voltage electrical distribution switchboards - Prisma G: wall-mounted and floor-standing enclosures for electrical switchboards up to 630A, Icw 25kA rms/1s - Prisma P: cubicles for electrical switchboards up to 4000A, Icw 100kA rms/1s - Technical data:
- Metal enclosures: steel metal sheet with electrophoresis treatment + hot-polymerised polyester epoxy powder
- Color white RAL 9001
- Degree of protection IP30 to IP55
- Degree of protection against mechanical impacts IK07 and IK10Refer to the offer Prisma PH for specific applications in harsh environment : reinforced IP degree of protection, seismic withstand…-Range Benefits:Pooling our energies for building safety
- Prisma contributes to optimum safety of persons as well as to high reliability and continuity of service of the electrical installation.
- All components (switchgears, busbars, distribution blocks, prefabricated connections, etc.) are rated and coordinated for joint operation.
- All the most demanding switchboard configurations have been tested and are IEC standard compliant. - Prisma allows production of optimised, safe and simple switchboards to exactly meet your needs. - Prisma can be upgraded easily at any time without its original performance being affected, thanks to prefabricated and modular design. - Prisma is designed and manufactured in France, and available world-wide.-Range Application Presentation:Low voltage distribution and control switchboards for commercial and industrial buildings
- Data and Telecom (data centres, server rooms, telecom networks) - Retail (multi users centres, chain and independent retails) - Hospitality (hotels, collective residences) - Industrial buildings (non critical process, logistic, agricultural) - Health (hospitals, clinics, nursery houses) - Offices - Education - Sports - Leisure and culture",200,152.06,https://download.schneider-electric.com/files?p_Doc_Ref=NSYCVF560M230PF_IoPmain_ODA20&p_File_Type=rendition_4000_png,https://www.se.com/uk/en/product/download-pdf/NSYCVF560M230PF,Schneider,Accessories
